county,,0-4,10-19,20-29,30-39,40-49,5-9,50-59,60-69,70+
11,2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0
11,2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714302,0.0
11,2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0
11,2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0
11,2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0
11,2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714302,0.0
11,2020-02-25,0.0,0.0,0.019047619047619046,0.019047619047619046,0.0,0.0,0.0,0.1428571428571428,0.0
11,2020-02-26,0.0,0.0,0.019047619047619046,0.019047619047619046,0.0,0.0,0.0,0.0,0.0
11,2020-02-27,0.0,0.0,0.019047619047619056,0.019047619047619056,0.0,0.0,0.0,0.0,0.0
11,2020-02-28,0.0,0.0,0.019047619047619035,0.019047619047619035,0.0,0.0,0.0,0.0,0.0
11,2020-02-29,0.0,0.0,0.01904761904761905,0.01904761904761905,0.0,0.0,0.0,0.1428571428571428,0.0
11,2020-03-01,0.0,0.14285714285714285,0.16190476190476188,0.01904761904761905,0.14285714285714285,0.0,0.0,0.1428571428571428,0.0
11,2020-03-02,0.0,0.14285714285714285,0.16190476190476188,0.01904761904761905,0.14285714285714285,0.0,0.0,0.1428571428571428,0.0
11,2020-03-03,0.0,0.14285714285714285,0.1428571428571429,0.0,0.14285714285714285,0.0,0.0,0.14285714285714324,0.0
11,2020-03-04,0.0,0.14285714285714285,0.1428571428571428,0.0,0.14285714285714285,0.0,0.0,0.1428571428571428,0.0
11,2020-03-05,0.0,0.1428571428571429,0.1428571428571428,0.0,0.1428571428571429,0.0,0.14285714285714285,0.1428571428571428,0.0
11,2020-03-06,0.0,0.1428571428571428,0.1428571428571429,0.0,0.2857142857142857,0.0,0.14285714285714285,0.1428571428571428,0.0
11,2020-03-07,0.0,0.1428571428571429,0.1428571428571429,0.14285714285714282,0.2857142857142858,0.0,0.2857142857142857,0.0,0.14285714285714285
11,2020-03-08,0.0,0.0,0.14440993788819867,0.576086956521739,0.28726708074534146,0.0,0.2857142857142857,0.0,0.2872670807453417
11,2020-03-09,0.14285714285714285,0.0,0.14440993788819867,1.4332298136645965,0.28726708074534146,0.0,0.4285714285714287,0.0,0.28726708074534163
11,2020-03-10,0.14285714285714285,0.0,0.14440993788819867,1.433229813664596,0.2872670807453417,0.0,0.5703858185610009,0.14181438998957274,0.4290814707349142
11,2020-03-11,0.2857142857142857,0.0,0.4301242236024845,2.0046583850931676,0.28726708074534146,0.0,0.9989572471324295,0.5703858185610011,0.571938613592057
11,2020-03-12,0.2857142857142857,0.2857142857142858,0.8586956521739129,2.433229813664595,0.28726708074534146,0.0,0.8561001042752867,0.9989572471324295,0.7147957564491998
11,2020-03-13,0.4285714285714287,0.2857142857142856,1.2872670807453415,2.861801242236023,0.14440993788819867,0.0,0.9989572471324295,1.4275286757038588,1.0005100421634854
11,2020-03-14,0.4285714285714284,0.7205331112036653,2.156904731724101,3.29870253336472,0.4342891548811183,0.0,1.1459793212682063,2.1522267181861583,1.2924717247957216
11,2020-03-15,0.4285714285714286,1.1491045397750934,2.2982090795501877,3.2940441482715546,0.43273635985006287,0.14285714285714285,1.8602650355539208,2.1522267181861565,1.8623475011932378
11,2020-03-16,0.2857142857142856,1.2919616826322375,2.5839233652644715,2.72261557684298,0.5755935027072061,0.5714285714285714,1.8602650355539208,2.866512432471872,2.00520464405038
11,2020-03-17,0.28571428571428603,1.5782181206913304,3.1564362413826608,3.438256671990718,0.5755935027072043,0.7145567904581188,1.7184506455643476,2.7246980424823004,1.863390254060807
11,2020-03-18,0.1428571428571428,1.722404167202959,3.3032800952032577,2.866828100562145,0.7197795492188339,0.8587428369697465,1.722437356527804,3.017056846469007,1.8647191577152942
11,2020-03-19,0.2854172854172856,1.7218101666089574,3.302389094312261,3.2936175273515715,0.8623396917789758,1.0013029795298891,2.007557641648088,3.016165845578012,1.72186201485815
11,2020-03-20,0.2884334630975709,2.3053034487586714,3.8949309095028255,3.302666060392429,2.175199576615828,1.4389229411421733,2.739940422015515,3.316961019693718,2.019641011293576
11,2020-03-21,0.28843346309757045,2.158839521605705,3.7461805043651033,2.867085075574799,1.8853203596229093,1.4389229411421738,2.8825935525272115,3.0247953247160417,2.161531982477026
11,2020-03-22,0.43470152088248204,2.315340324173924,4.338074565360291,3.3161219937128408,2.766339621260146,1.2960657982850297,2.89964812716606,4.048671729210426,2.032318499330959
11,2020-03-23,0.5773534092240267,2.6004388463414116,5.336227274719889,3.6010152613647293,3.33674192011072,1.010146258055145,3.042094760992004,4.047645456632424,3.6012840165723397
11,2020-03-24,0.5773534092240258,3.172519057705312,6.337331589210535,3.886766923877154,4.052022461296552,1.1531302554999332,4.043487518652171,5.33515043076693,4.173508449521005
11,2020-03-25,0.7236293554999724,3.467160850021525,8.098912643814849,4.179318816429053,4.63921614616466,1.0089442089883018,4.049757217945125,4.906772090760683,4.76070213438911
11,2020-03-26,0.7266409808393872,4.346614708097714,8.690234591431341,5.070819175862908,5.078943075202751,1.303099370126839,4.346924004423073,4.915806966778938,5.051845670188229
11,2020-03-27,0.5807676603019596,4.199224865566386,9.12279947973061,5.069302653868995,4.492922256396536,1.1562150349268059,4.489258773641389,4.622543803710165,4.759088014450768
