,0-4,5-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-4,1.910947272,0.785434127,0.605625187,0.947981374,1.217311125,0.539320953,0.526173736,0.327925373,0.136674088
5-9,0.85521767,3.058521984,1.270114901,0.58693843,0.994773578,0.548864878,0.307890457,0.281532888,0.096497944
10-19,0.188896251,0.833542053,5.118977748,0.980885642,0.664389283,0.573172498,0.223942538,0.129148262,0.077123332
20-29,0.216755517,0.16548349,1.147046493,2.721855297,1.030819054,0.491379042,0.301704518,0.088582574,0.05432343
30-39,0.26332431,0.231473866,0.380567554,0.938730506,1.367406189,0.614261353,0.391433597,0.2059107,0.07341513
40-49,0.098299694,0.127266219,0.312786607,0.458588573,0.688428948,0.540938672,0.2557285,0.131057968,0.066108518
50-59,0.086537286,0.105663338,0.236436307,0.604374319,0.589119407,0.457536799,0.457947075,0.236600102,0.077891963
60-69,0.072165885,0.081541365,0.124617917,0.379716699,0.528686478,0.365015372,0.373055461,0.358649898,0.143989493
70+,0.035685722,0.043421502,0.11245329,0.160496889,0.271909358,0.236009223,0.190299366,0.27117548,0.190983387
