taz_id,Orth,Druze,Other,Jewish,Muslim,Christian
1,0.029482332177117394,0.0,0.0,0.9703102067201071,0.0002074611027753708,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.01041258741258741,0.0,0.0,0.915181818181818,0.07440559440559442,0.0
6,0.010412587412587413,0.0,0.0,0.9151818181818182,0.07440559440559444,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.010391442018968605,0.0,0.0,0.9155449483542188,0.07406360962681269,0.0
9,0.000745134599677387,0.0,0.0,0.9763465735287225,0.02290829187160024,0.0
10,0.000247860779727012,0.0,0.0,0.9904068091506876,0.00934533006958558,0.0
11,0.003992878129764012,0.0,0.0,0.9959784678420196,2.8654028216579657e-05,0.0
12,0.004,0.0,0.0,0.996,0.0,0.0
13,0.007979271634457488,0.0,0.0,0.9919895447385916,3.118362695071721e-05,0.0
14,0.004049627649472864,0.0,0.0,0.9959195350066686,3.083734385838208e-05,0.0
15,0.013913663599846814,0.0,0.0,0.9860355844345569,5.075196559638679e-05,0.0
16,0.006044934756996708,0.0,0.0,0.9939488306568444,6.2345861588298775e-06,0.0
17,0.009941673175218074,0.0,0.0,0.989958994445322,9.933237945991716e-05,0.0
18,2.395698814550075e-05,0.0,0.0,0.991000126915688,0.008975916096166601,0.0
19,5.22975324425988e-05,0.0,0.0,0.9907629897314882,0.009184712736069285,0.0
20,0.009990574597047884,0.0,0.0,0.9900085781580992,8.472448528116566e-07,0.0
21,2.1651033658224028e-05,0.0,0.0,0.9325281040625942,0.06745024490374749,0.0
22,0.010387114691861888,0.0,0.0,0.9151932282475916,0.07441965706054662,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,1.3194794313140105e-05,0.0,0.0,0.9900022164462609,0.009984588759426021,0.0
29,0.0,0.0,0.0,0.9929807916150633,0.0070192083849369,0.0
30,5.304489614304941e-05,0.0,0.0,0.9876336210420451,0.01231333406181213,0.0
31,1.8010814359896389e-06,0.0,0.0,0.9850257838992372,0.014972415019326769,0.0
32,0.017285552447750305,0.0,0.0,0.9826652415423266,4.920600992307925e-05,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0004561983022988088,0.0,0.0,0.9700934703027064,0.029450331394994683,0.0
35,0.010786973748978109,0.0,0.0,0.9885850838346636,0.0006279424163582088,0.0
36,1.3161409758067395e-05,0.0,0.0,0.991983878009984,0.008002960580258065,0.0
37,6.675444785689848e-05,0.0,0.0,0.9919530097177096,0.007980235834433469,0.0
38,0.017948155940905583,0.0,0.0,0.982006246532146,4.559752694844502e-05,0.0
39,0.01790177578211953,0.0,0.0,0.9820545690099336,4.365520794687736e-05,0.0
40,0.00993389509494473,0.0,0.0,0.9898744042331884,0.00019170067186695256,0.0
41,0.04515603572691875,0.0,0.0,0.9163467114174584,0.03849725285562273,0.0
42,0.011915900304107838,0.0,0.0,0.9575459845960832,0.030538115099809093,0.0
43,0.0033956330909216837,0.0,0.0,0.9853275843493928,0.011276782559685472,0.0
44,0.005049951623691319,0.0,0.0,0.9830245908729904,0.011925457503318358,0.0
45,0.017596386295150843,0.0,0.0,0.9786987961508129,0.003704817554036208,0.0
46,0.010431243041034705,0.0,0.0,0.9163031456642956,0.07326561129466963,0.0
47,0.004857872795081035,0.0,0.0,0.9604341064955876,0.034708020709331135,0.0
48,0.002312914583929121,0.0,0.0,0.9419938479618212,0.05569323745424959,0.0
49,0.0059081727897786285,0.0,0.0,0.9728853226788828,0.021206504531338544,0.0
50,0.016931288316021306,0.0,0.0,0.9790273630183334,0.0040413486656453316,0.0
51,0.00010983559223939904,0.0,0.0,0.9876298014922479,0.012260362915512484,0.0
52,0.00010464338775868392,0.0,0.0,0.9887305169227184,0.01116483968952294,0.0
53,0.03674047921954385,0.0,0.0,0.9629135140314016,0.000346006749054451,0.0
54,0.0003786779485004399,0.0,0.0,0.9751385491060558,0.0244827729454438,0.0
55,0.008969460888046581,0.0,0.0,0.9909756819829569,5.485712899636225e-05,0.0
56,0.005822156424426508,0.0,0.0,0.9847893902116149,0.009388453363958396,0.0
57,0.02096485661085641,0.0,0.0,0.9788980204416222,0.00013712294752139134,0.0
58,0.0439755470778425,0.0,0.0,0.955727659942766,0.0002967929793914395,0.0
59,0.01035128677651296,0.0,0.0,0.9156303498634644,0.07401836336002264,0.0
60,0.008082276456803206,0.0,0.0,0.9863227095897754,0.005595013953421329,0.0
61,0.00862838363779938,0.0,0.0,0.9249937077043712,0.0663779086578295,0.0
62,0.0008600651640558419,0.0,0.0,0.9418631966736404,0.057276738162303865,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0
64,0.010434224825855,0.0,0.0,0.9154582343613016,0.07410754081284322,0.0
65,0.005850220648544328,0.0,0.0,0.9373181660531444,0.056831613298311275,0.0
66,4.368468253237759e-06,0.0,0.0,0.9234103963237408,0.07658523520800598,0.0
67,4.0472275750242935e-06,0.0,0.0,0.9603308106780384,0.03966514209438659,0.0
68,0.023037488764504708,0.0,0.0,0.9768498550600104,0.0001126561754846815,0.0
69,0.00027626421731741674,0.0,0.0,0.9333916218733388,0.06633211390934386,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0002044017238459021,0.0,0.0,0.9401122949902284,0.059683303285925825,0.0
