,0-4,5-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
0-4,0,0,0,0,0,0,0,0,1.21E-05
5-9,0,0,0,0,0,0,0,1.35E-05,0
10-19,0,0,0.36462778,0.425551208,0.307759925,0.299322619,0.114175694,0.006199185,3.95E-06
20-29,0,0,0.395992158,1.7264507,1.530540821,1.131590426,0.606490402,0.044159237,1.51E-05
30-39,0,0,0.315674763,1.294421932,2.078598558,1.751080878,0.800302686,0.04123201,1.13E-05
40-49,0,0,0.293957072,1.110030218,1.765236268,1.93762208,0.943990617,0.044619451,2.03E-05
50-59,0,0,0.269528677,0.761643958,1.27945829,1.585571302,1.019917159,0.049350404,1.77E-05
60-69,3.62E-06,1.60E-06,0.022494119,0.094077639,0.146232983,0.16704325,0.121437014,0.006846436,2.96E-05
70+,0,0,9.48E-06,7.52E-05,0.000112873,4.76E-05,2.91E-05,2.11E-05,1.42E-05
