,taz_id,yesh_id,stat11_id,prc,yesh_stat11_id,cahana_id
5136,904,7900,522,0.0005466632871167777,79000522,7900522
2580,444,7900,413,1.3507956985179853e-06,79000413,7900413
2578,444,7900,423,6.027194493997404e-06,79000423,7900423
2575,444,7900,421,0.001979751028985295,79000421,7900421
2583,445,7900,324,2.3796731904477343e-05,79000324,7900324
2581,445,7900,422,0.0010234044236492107,79000422,7900422
2585,445,7900,424,0.002346807345581607,79000424,7900424
2587,445,7900,423,0.9928681205361674,79000423,7900423
2586,445,7900,421,4.08117284915856e-05,79000421,7900421
5140,904,7900,523,0.0028898128444277437,79000523,7900523
2588,445,7900,413,0.0010141994486079205,79000413,7900413
2582,445,7900,431,0.0009471536847187931,79000431,7900431
2574,443,7900,415,0.981506363618322,79000415,7900415
2570,442,7900,424,0.0001555428002910003,79000424,7900424
2567,442,7900,412,0.0008987991419748645,79000412,7900412
2568,442,7900,415,0.0015960674904274168,79000415,7900415
2547,440,7900,423,7.725716187082268e-05,79000423,7900423
2552,440,7900,424,0.9856964472908083,79000424,7900424
2549,440,7900,234,0.00012493219995963301,79000234,7900234
2548,440,7900,323,0.007577127905055478,79000323,7900323
2551,440,7900,413,0.0034137524074027564,79000413,7900413
2554,441,7900,232,0.005299394297850881,79000232,7900232
2557,441,7900,414,0.0022675200261800072,79000414,7900414
2584,445,7900,415,0.0017357061008786622,79000415,7900415
2555,441,7900,233,0.00037609784596767865,79000233,7900233
2558,441,7900,413,0.00019728745115323032,79000413,7900413
2561,441,7900,411,0.49893085458980047,79000411,7900411
2560,441,7900,412,0.4896028245130079,79000412,7900412
2563,442,7900,233,0.00017369169761654416,79000233,7900233
2566,442,7900,413,0.33881878447638775,79000413,7900413
2564,442,7900,414,0.6544635468247786,79000414,7900414
2562,442,7900,423,0.0004818564027049432,79000423,7900423
2556,441,7900,222,0.001166527547634037,79000222,7900222
2550,440,7900,324,0.0028613447863352296,79000324,7900324
5133,904,7900,421,0.00023379162544392203,79000421,7900421
2592,446,7900,415,0.001023459794769487,79000415,7900415
2616,449,7900,434,0.7015667033021553,79000434,7900434
5130,903,7900,421,0.00035430815395460363,79000421,7900421
2611,449,7900,513,0.009886682426148428,79000513,7900513
2617,449,7900,112,0.003218905383777563,79000112,7900112
2615,449,7900,432,0.00019500493756660988,79000432,7900432
2618,449,7900,433,0.27847620102558035,79000433,7900433
2613,449,7900,512,0.006585275208577342,79000512,7900512
